### File1
### Start time : 2024/04/10 13:30:16
### ACC FSR:8G
### GYRO FSR:2000
### MAG DATA:MAG OFF
### Interrupt Threshold:0101
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:6X_LP_QUAT
### Gyro Cal:NO
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
-0.017, -0.031, 1.013, -15.686, 4.028, 0.305, 0.0, 0.0, 0.0
0.031, -0.024, 0.932, -15.747, 1.465, 2.93, 0.0, 0.0, 0.0
0.067, -0.01, 0.928, 0.0, 1.892, 4.578, 0.0, 0.0, 0.0
0.092, 0.031, 1.001, 0.061, 2.625, 3.418, 0.0, 0.0, 0.0
-0.024, 0.067, 0.937, -15.747, -15.686, -22.583, 0.0, 0.0, 0.0
0.013, -0.063, 1.004, -15.808, -15.747, -18.066, 0.0, 0.0, 0.0
0.066, -0.064, 0.93, -15.808, -15.869, -3.906, 0.0, 0.0, 0.0
0.049, 0.02, 0.937, -15.808, -16.541, -1.648, 0.0, 0.0, 0.0
0.035, 0.029, 0.937, -15.747, 0.488, 6.531, 0.0, 0.0, 0.0
0.083, -0.063, 1.0, 0.061, 1.343, 3.906, 0.0, 0.0, 0.0
0.073, -0.09, 0.935, -15.747, 1.404, 0.305, 0.0, 0.0, 0.0
0.068, 0.007, 0.93, -15.686, 1.099, -16.663, 0.0, 0.0, 0.0
0.033, 0.004, 1.007, 0.061, 1.343, 5.249, 0.0, 0.0, 0.0
0.08, 0.017, 1.012, 0.061, 2.747, 6.348, 0.0, 0.0, 0.0
0.048, -0.009, 1.02, 0.0, 2.38, -17.334, 0.0, 0.0, 0.0
0.066, 0.025, 1.0, 0.366, 1.953, -22.644, 0.0, 0.0, 0.0
0.012, -0.076, 1.002, 0.427, 1.587, -23.071, 0.0, 0.0, 0.0
-0.002, -0.082, 0.923, 0.183, 2.38, -22.339, 0.0, 0.0, 0.0
0.084, 0.009, 1.004, 0.061, 2.38, -8.667, 0.0, 0.0, 0.0
-0.029, 0.006, 1.004, 0.0, 2.808, -11.719, 0.0, 0.0, 0.0
0.085, 0.007, 1.015, -15.869, 3.601, -13.245, 0.0, 0.0, 0.0
0.033, 0.013, 1.016, -15.808, 1.465, -34.607, 0.0, 0.0, 0.0
-0.031, -0.071, 1.002, -15.991, 2.747, -36.926, 0.0, 0.0, 0.0
