### File1
### Start time : 2024/04/10 14:23:59
### ACC FSR:8G
### GYRO FSR:1000
### MAG DATA:Raw_MAG
### Interrupt Threshold:0102
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:6X_LP_QUAT
### Gyro Cal:NO
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
-0.064, -0.063, 1.006, -9.003, 8.27, 3.326, 0.0, 0.0, 0.0
-0.064, -0.063, 1.008, -8.942, 8.453, 3.204, 0.0, 0.0, 0.0
-0.064, -0.065, 1.005, -9.033, 8.392, 3.235, 0.0, 0.0, 0.0
-0.064, -0.064, 1.004, -9.003, 8.423, 3.296, 0.0, 0.0, 0.0
0.0, -0.063, 1.006, -8.85, 8.301, 3.387, 0.0, 0.0, 0.0
-0.065, -0.064, 1.006, -8.911, 8.514, 3.235, 0.0, 0.0, 0.0
-0.064, -0.064, 1.005, -9.003, 8.484, 3.235, 0.0, 0.0, 0.0
0.001, -0.064, 1.006, -9.094, 8.24, 3.357, 0.0, 0.0, 0.0
-0.065, -0.064, 1.005, -8.911, 8.362, 3.357, 0.0, 0.0, 0.0
-0.063, -0.064, 1.006, -9.094, 8.301, 3.204, 0.0, 0.0, 0.0
-0.064, -0.065, 1.005, -9.186, 8.179, 3.326, 0.0, 0.0, 0.0
-0.065, -0.064, 1.007, -9.033, 8.331, 3.326, 0.0, 0.0, 0.0
0.001, -0.063, 1.006, -8.972, 8.423, 3.204, 0.0, 0.0, 0.0
-0.064, -0.065, 1.006, -8.82, 8.301, 3.204, 0.0, 0.0, 0.0
-0.063, -0.064, 1.007, -8.911, 8.331, 3.326, 0.0, 0.0, 0.0
-0.063, -0.064, 1.006, -8.972, 8.301, 3.235, 0.0, 0.0, 0.0
-0.064, -0.065, 1.006, -9.033, 8.27, 3.387, 0.0, 0.0, 0.0
-0.064, -0.064, 1.007, -8.881, 8.423, 3.296, 0.0, 0.0, 0.0
-0.064, -0.065, 1.005, -9.125, 8.27, 3.387, 0.0, 0.0, 0.0
-0.066, -0.064, 1.006, -9.033, 8.362, 3.387, 0.0, 0.0, 0.0
0.0, -0.064, 1.005, -8.942, 8.362, 3.235, 0.0, 0.0, 0.0
-0.063, -0.064, 1.006, -8.972, 8.301, 3.204, 0.0, 0.0, 0.0
-0.063, -0.065, 1.006, -8.82, 8.331, 3.235, 0.0, 0.0, 0.0
0.0, -0.064, 1.006, -8.85, 8.362, 3.174, 0.0, 0.0, 0.0
-0.064, -0.064, 1.005, -9.155, 8.484, 3.052, 0.0, 0.0, 0.0
-0.065, -0.064, 1.005, -9.186, 8.423, 3.174, 0.0, 0.0, 0.0
-0.395, -0.219, 1.006, -8.881, 11.139, 31.86, 0.0, 0.0, 0.0
-0.055, 0.085, 0.974, -8.85, 10.956, 73.12, 0.0, 0.0, 0.0
0.048, 0.134, 0.999, -9.277, 5.981, -32.959, 0.0, 0.0, 0.0
-0.115, -0.066, 1.019, -9.583, -11.719, -56.122, 0.0, 0.0, 0.0
-0.105, -0.083, 1.0, -9.644, -6.165, -41.962, 0.0, 0.0, 0.0
-0.078, 0.021, 1.021, -10.681, -4.852, -40.71, 0.0, 0.0, 0.0
-0.083, 0.008, 0.937, -4.578, -15.625, -19.989, 0.0, 0.0, 0.0
-0.184, -0.05, 0.915, -10.62, -11.108, -9.43, 0.0, 0.0, 0.0
-0.19, -0.041, 1.002, 1.312, 7.507, 35.767, 0.0, 0.0, 0.0
-0.043, 0.01, 0.873, 2.228, 13.428, 36.774, 0.0, 0.0, 0.0
-0.1, -0.068, 1.017, 0.092, 4.852, 37.659, 0.0, 0.0, 0.0
-0.086, 0.014, 0.97, 0.031, -2.045, 36.499, 0.0, 0.0, 0.0
-0.205, -0.035, 1.027, 0.671, -3.357, 38.91, 0.0, 0.0, 0.0
-0.189, 0.004, 0.926, -8.148, 2.411, 46.661, 0.0, 0.0, 0.0
-0.19, -0.08, 1.014, -8.087, 5.951, 60.089, 0.0, 0.0, 0.0
-0.143, 0.004, 1.004, -9.308, 10.559, 73.517, 0.0, 0.0, 0.0
-0.046, -0.08, 1.002, -9.521, 9.705, 62.134, 0.0, 0.0, 0.0
-0.044, 0.016, 1.006, 1.404, 7.904, 65.552, 0.0, 0.0, 0.0
-0.112, -0.086, 1.009, 1.068, 5.646, 81.055, 0.0, 0.0, 0.0
-0.132, -0.088, 0.912, -9.46, 6.195, 88.165, 0.0, 0.0, 0.0
-0.107, -0.086, 1.004, -10.071, 7.141, 91.797, 0.0, 0.0, 0.0
-0.044, 0.004, 1.006, -9.644, 11.383, 107.147, 0.0, 0.0, 0.0
0.02, 0.004, 1.012, -8.636, 7.996, 101.288, 0.0, 0.0, 0.0
-0.07, 0.008, 1.008, -8.148, 2.594, 90.21, 0.0, 0.0, 0.0
-0.042, -0.038, 1.064, 0.214, 9.949, 93.445, 0.0, 0.0, 0.0
-0.141, -0.038, 1.023, -8.667, 16.754, 91.919, 0.0, 0.0, 0.0
-0.042, -0.035, 1.019, -9.033, 19.318, 105.286, 0.0, 0.0, 0.0
-0.092, -0.048, 1.03, -9.399, 7.172, 101.532, 0.0, 0.0, 0.0
0.015, -0.082, 1.011, -9.186, 2.258, 97.961, 0.0, 0.0, 0.0
0.021, -0.066, 0.908, -9.369, 8.545, 93.536, 0.0, 0.0, 0.0
-0.08, -0.085, 1.024, -9.644, 4.333, 92.56, 0.0, 0.0, 0.0
-0.032, -0.075, 1.013, -9.033, 6.927, 118.164, 0.0, 0.0, 0.0
0.013, 0.021, 1.024, -10.162, 6.226, 130.127, 0.0, 0.0, 0.0
0.031, -0.086, 1.015, -3.998, 7.965, 142.944, 0.0, 0.0, 0.0
0.019, -0.036, 0.965, -9.216, -4.913, 132.996, 0.0, 0.0, 0.0
0.03, -0.077, 0.926, -7.996, 2.594, 130.28, 0.0, 0.0, 0.0
0.001, -0.031, 0.928, -8.057, 6.531, 136.688, 0.0, 0.0, 0.0
0.026, -0.042, 0.934, -10.468, 17.761, 125.183, 0.0, 0.0, 0.0
-0.025, -0.089, 0.915, -10.468, 8.698, 121.643, 0.0, 0.0, 0.0
-0.008, -0.081, 0.918, -9.033, 15.747, 116.852, 0.0, 0.0, 0.0
-0.02, -0.061, 1.007, 0.916, 7.446, 110.779, 0.0, 0.0, 0.0
0.075, 0.03, 1.01, -8.606, -8.331, 96.588, 0.0, 0.0, 0.0
0.046, -0.078, 0.908, -10.071, 2.625, 83.893, 0.0, 0.0, 0.0
0.06, -0.091, 1.001, -9.796, -2.869, 66.803, 0.0, 0.0, 0.0
0.045, 0.03, 1.016, -10.254, -5.554, 51.605, 0.0, 0.0, 0.0
0.084, 0.004, 0.974, -9.46, -11.2, 64.728, 0.0, 0.0, 0.0
0.073, -0.044, 0.949, -8.911, -1.617, 63.629, 0.0, 0.0, 0.0
0.036, -0.083, 0.914, -10.864, -5.615, 82.764, 0.0, 0.0, 0.0
0.109, -0.087, 0.939, -9.216, -10.132, 110.077, 0.0, 0.0, 0.0
0.153, 0.002, 1.017, -8.728, 11.292, 103.607, 0.0, 0.0, 0.0
0.204, -0.079, 0.974, -8.423, 18.585, 69.397, 0.0, 0.0, 0.0
0.189, -0.13, 0.956, -8.484, 17.883, 50.659, 0.0, 0.0, 0.0
0.211, -0.097, 0.859, 0.427, 25.146, 27.74, 0.0, 0.0, 0.0
0.088, -0.088, 0.927, 0.153, 40.161, -23.193, 0.0, 0.0, 0.0
0.054, 0.07, 0.995, -8.453, 16.205, -22.43, 0.0, 0.0, 0.0
-0.091, 0.026, 1.027, -9.308, 2.93, 3.418, 0.0, 0.0, 0.0
0.012, -0.074, 1.0, -10.498, -9.338, 31.494, 0.0, 0.0, 0.0
-0.067, 0.0, 1.012, -8.759, 10.01, -0.763, 0.0, 0.0, 0.0
0.018, -0.066, 0.93, -9.399, -2.747, 3.601, 0.0, 0.0, 0.0
0.004, 0.001, 1.007, -8.27, 4.456, 3.113, 0.0, 0.0, 0.0
-0.077, 0.001, 1.021, -8.759, 10.406, 3.174, 0.0, 0.0, 0.0
-0.074, 0.003, 1.017, -9.094, 8.575, 3.296, 0.0, 0.0, 0.0
-0.07, 0.001, 1.014, -8.942, 8.423, 3.326, 0.0, 0.0, 0.0
-0.063, 0.002, 1.01, -9.033, 8.148, 3.326, 0.0, 0.0, 0.0
0.003, -0.063, 1.006, -9.094, 8.423, 3.235, 0.0, 0.0, 0.0
-0.063, 0.001, 1.008, -9.064, 8.331, 3.326, 0.0, 0.0, 0.0
0.003, -0.064, 1.005, -9.033, 8.209, 3.235, 0.0, 0.0, 0.0
0.003, 0.0, 1.007, -8.972, 8.423, 3.296, 0.0, 0.0, 0.0
0.001, -0.064, 1.006, -8.881, 8.301, 3.204, 0.0, 0.0, 0.0
0.003, -0.063, 1.004, -8.911, 8.331, 3.235, 0.0, 0.0, 0.0
0.002, 0.0, 1.004, -9.033, 8.392, 3.235, 0.0, 0.0, 0.0
0.002, 0.001, 1.004, -9.094, 8.392, 3.357, 0.0, 0.0, 0.0
0.003, 0.0, 1.006, -9.064, 8.362, 3.235, 0.0, 0.0, 0.0
0.002, 0.0, 1.006, -9.155, 8.362, 3.265, 0.0, 0.0, 0.0
0.002, 0.002, 1.006, -9.125, 8.209, 3.204, 0.0, 0.0, 0.0
0.002, 0.0, 1.006, -8.911, 8.301, 3.235, 0.0, 0.0, 0.0
0.003, 0.002, 1.004, -8.911, 8.453, 3.204, 0.0, 0.0, 0.0
-0.063, -0.063, 0.924, -8.179, 8.759, 3.235, 0.0, 0.0, 0.0
0.001, 0.004, 0.998, 0.305, 8.087, 3.357, 0.0, 0.0, 0.0
0.007, 0.004, 0.934, -10.254, 8.27, 3.204, 0.0, 0.0, 0.0
-0.064, 0.002, 0.919, -9.979, 8.514, 3.357, 0.0, 0.0, 0.0
0.004, -0.066, 1.014, -8.636, 7.904, 3.296, 0.0, 0.0, 0.0
0.005, 0.0, 1.011, -8.82, 8.392, 3.326, 0.0, 0.0, 0.0
0.001, 0.001, 1.001, -8.881, 8.423, 3.204, 0.0, 0.0, 0.0
0.001, 0.001, 1.02, -9.064, 8.24, 3.204, 0.0, 0.0, 0.0
0.003, -0.063, 0.928, -9.399, 8.148, 3.265, 0.0, 0.0, 0.0
0.003, -0.064, 1.005, -8.789, 8.362, 3.387, 0.0, 0.0, 0.0
