### File1
### Start time : 2024/04/10 13:46:03
### ACC FSR:8G
### GYRO FSR:2000
### MAG DATA:MAG OFF
### Interrupt Threshold:0101
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:6X_LP_QUAT
### Gyro Cal:NO
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
0.003, -0.063, 1.012, 0.427, 5.676, 17.578, 0.0, 0.0, 0.0
0.082, -0.073, 0.984, 0.977, -7.629, -2.869, 0.0, 0.0, 0.0
0.017, 0.028, 0.983, -15.747, 2.075, 2.747, 0.0, 0.0, 0.0
-0.155, -0.072, 1.002, -15.747, 1.648, 7.202, 0.0, 0.0, 0.0
0.088, 0.015, 1.005, 0.061, 3.784, 5.432, 0.0, 0.0, 0.0
0.089, 0.015, 1.016, -16.602, -17.7, 4.883, 0.0, 0.0, 0.0
-0.087, 0.005, 1.009, -16.479, -17.212, 1.404, 0.0, 0.0, 0.0
-0.043, -0.086, 0.986, -15.991, 0.549, 4.639, 0.0, 0.0, 0.0
-0.031, -0.081, 1.002, -15.686, 3.174, 2.93, 0.0, 0.0, 0.0
-0.04, -0.071, 0.908, 0.305, 4.944, -16.479, 0.0, 0.0, 0.0
-0.069, -0.066, 0.94, -15.93, 1.404, 0.183, 0.0, 0.0, 0.0
0.018, 0.005, 1.006, -15.93, 1.587, -17.761, 0.0, 0.0, 0.0
-0.082, 0.007, 1.024, -15.869, 1.648, -17.761, 0.0, 0.0, 0.0
-0.133, 0.01, 1.008, -15.869, 2.747, -16.357, 0.0, 0.0, 0.0
-0.129, 0.002, 0.93, -15.747, 3.357, 3.479, 0.0, 0.0, 0.0
0.01, 0.011, 1.01, -15.686, 3.967, 5.798, 0.0, 0.0, 0.0
0.024, 0.004, 1.012, -15.747, 2.686, 4.578, 0.0, 0.0, 0.0
-0.132, -0.081, 0.928, -15.808, 1.709, 0.916, 0.0, 0.0, 0.0
-0.042, 0.001, 0.936, -15.93, 2.014, -16.602, 0.0, 0.0, 0.0
-0.09, -0.068, 1.0, 0.366, 4.456, -16.052, 0.0, 0.0, 0.0
0.005, -0.076, 1.001, 0.488, 5.554, -16.357, 0.0, 0.0, 0.0
0.0, -0.071, 1.012, 0.0, 3.296, -18.311, 0.0, 0.0, 0.0
-0.07, 0.008, 1.001, -15.991, -15.686, -18.311, 0.0, 0.0, 0.0
0.017, -0.063, 1.02, -16.174, 1.16, -17.883, 0.0, 0.0, 0.0
-0.029, 0.013, 1.013, 0.061, 4.211, -17.212, 0.0, 0.0, 0.0
0.019, 0.006, 0.934, 0.061, 4.15, 0.0, 0.0, 0.0, 0.0
0.004, -0.073, 0.926, 0.0, 1.892, -18.311, 0.0, 0.0, 0.0
-0.027, -0.091, 1.008, -15.686, 2.502, -17.761, 0.0, 0.0, 0.0
-0.063, 0.016, 0.931, -15.747, 2.014, 1.709, 0.0, 0.0, 0.0
0.009, 0.001, 1.022, -15.747, 3.235, 4.578, 0.0, 0.0, 0.0
-0.074, 0.013, 1.012, -15.686, 3.601, 4.089, 0.0, 0.0, 0.0
-0.018, -0.073, 1.008, -15.747, 2.625, 0.977, 0.0, 0.0, 0.0
-0.012, 0.013, 1.014, -15.686, 2.197, -20.935, 0.0, 0.0, 0.0
0.014, 0.027, 1.016, -15.869, 2.136, -21.79, 0.0, 0.0, 0.0
-0.084, -0.073, 1.009, -15.808, 2.502, -15.686, 0.0, 0.0, 0.0
0.005, -0.068, 0.935, -15.808, 2.747, 5.127, 0.0, 0.0, 0.0
0.031, -0.072, 1.011, -15.808, 3.296, 5.92, 0.0, 0.0, 0.0
0.012, 0.01, 1.005, -15.808, 1.465, 0.0, 0.0, 0.0, 0.0
-0.079, -0.077, 1.017, -15.808, 1.526, -18.188, 0.0, 0.0, 0.0
-0.07, -0.067, 1.015, -15.686, 2.075, -16.296, 0.0, 0.0, 0.0
0.026, 0.004, 1.004, -15.869, 1.465, 1.038, 0.0, 0.0, 0.0
-0.021, 0.006, 0.926, -15.747, 1.099, -16.846, 0.0, 0.0, 0.0
-0.077, -0.082, 1.005, -15.869, 2.258, -18.555, 0.0, 0.0, 0.0
