### File1
### Start time : 2024/04/10 13:58:25
### ACC FSR:8G
### GYRO FSR:1000
### MAG DATA:Raw_MAG
### Interrupt Threshold:0102
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:6X_LP_QUAT
### Gyro Cal:NO
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
0.051, -0.085, 1.003, -9.338, -1.16, 9.064, 0.0, 0.0, 0.0
0.054, -0.071, 1.003, -8.911, 19.47, -6.134, 0.0, 0.0, 0.0
0.052, -0.085, 1.012, -8.606, 15.594, -15.869, 0.0, 0.0, 0.0
0.058, 0.027, 1.0, -8.728, -17.12, -10.986, 0.0, 0.0, 0.0
0.047, -0.019, 0.937, -9.399, -17.548, -6.683, 0.0, 0.0, 0.0
0.05, 0.019, 1.017, -9.125, 6.653, -12.909, 0.0, 0.0, 0.0
0.038, -0.064, 1.019, -9.399, -10.04, -18.066, 0.0, 0.0, 0.0
0.047, 0.002, 0.934, -9.521, -27.466, -5.31, 0.0, 0.0, 0.0
0.136, -0.072, 0.936, -9.003, -5.066, -23.254, 0.0, 0.0, 0.0
0.142, -0.068, 1.013, -9.43, 18.524, -60.699, 0.0, 0.0, 0.0
0.14, -0.074, 0.916, -8.179, -11.169, -82.825, 0.0, 0.0, 0.0
0.054, -0.133, 0.923, -9.521, -11.078, -82.52, 0.0, 0.0, 0.0
0.042, -0.055, 1.002, -3.937, -8.087, -69.946, 0.0, 0.0, 0.0
0.143, -0.04, 1.022, -9.796, -0.824, -71.289, 0.0, 0.0, 0.0
0.209, 0.011, 0.932, -7.904, 6.47, -90.759, 0.0, 0.0, 0.0
0.207, -0.009, 0.937, -8.24, 10.132, -138.977, 0.0, 0.0, 0.0
0.063, -0.084, 0.929, -8.82, 11.627, -140.533, 0.0, 0.0, 0.0
0.065, -0.131, 0.93, 1.129, 35.065, -52.551, 0.0, 0.0, 0.0
0.188, -0.066, 1.016, -8.148, 94.177, 0.793, 0.0, 0.0, 0.0
0.203, 0.094, 1.021, -9.43, 50.293, -4.73, 0.0, 0.0, 0.0
0.097, -0.022, 0.936, 0.397, -17.822, -20.508, 0.0, 0.0, 0.0
0.128, -0.019, 1.018, -7.935, 11.23, -101.379, 0.0, 0.0, 0.0
0.052, 0.009, 0.975, -2.655, -43.549, -156.494, 0.0, 0.0, 0.0
0.133, -0.08, 0.915, 0.58, -88.715, -178.223, 0.0, 0.0, 0.0
0.025, -0.143, 1.006, -8.789, -5.981, -222.26, 0.0, 0.0, 0.0
-0.143, -0.155, 1.011, 0.0, 6.744, -177.979, 0.0, 0.0, 0.0
0.084, -0.04, 1.018, 0.488, 34.18, -105.896, 0.0, 0.0, 0.0
0.092, -0.016, 1.009, -9.033, 11.993, -138.214, 0.0, 0.0, 0.0
-0.081, -0.029, 1.006, -9.43, 14.099, -191.193, 0.0, 0.0, 0.0
-0.149, -0.016, 1.004, 0.244, 48.523, -192.596, 0.0, 0.0, 0.0
-0.14, 0.012, 1.008, 0.549, 39.459, -175.964, 0.0, 0.0, 0.0
-0.137, 0.003, 1.017, 1.282, -3.326, -186.676, 0.0, 0.0, 0.0
-0.236, -0.104, 1.006, 1.892, -50.598, -189.026, 0.0, 0.0, 0.0
-0.369, -0.21, 0.93, -7.843, -27.924, -144.287, 0.0, 0.0, 0.0
-0.296, -0.217, 0.93, -10.376, 22.034, -70.007, 0.0, 0.0, 0.0
