### File1
### Start time : 2024/03/29 02:40:05
### ACC FSR:2G
### GYRO FSR:2000
### MAG DATA:MAG OFF
### Interrupt Threshold:1201
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:6X_LP_QUAT
### Gyro Cal:YES
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
-0.032, -0.465, 0.45, 35.339, -35.522, -8.118, 0.0, 0.0, 0.0
0.002, -0.418, 0.44, 15.808, -19.104, -13.306, 0.0, 0.0, 0.0
0.064, -0.365, 0.536, -6.653, 15.686, -37.415, 0.0, 0.0, 0.0
0.08, -0.335, 0.631, 22.278, 18.677, -32.898, 0.0, 0.0, 0.0
0.027, -0.27, 0.638, 13.245, -18.25, -31.494, 0.0, 0.0, 0.0
0.028, -0.167, 0.632, 28.32, -27.1, -33.447, 0.0, 0.0, 0.0
0.094, -0.169, 0.603, 45.349, -26.367, -15.32, 0.0, 0.0, 0.0
0.132, -0.146, 0.653, 28.687, -16.541, -21.362, 0.0, 0.0, 0.0
0.148, -0.09, 0.694, 15.259, -1.465, -16.541, 0.0, 0.0, 0.0
0.157, -0.043, 0.75, 27.771, 18.799, -19.531, 0.0, 0.0, 0.0
0.152, -0.025, 0.776, 41.382, -2.502, -15.991, 0.0, 0.0, 0.0
0.144, -0.066, 0.778, 69.946, -17.883, -18.188, 0.0, 0.0, 0.0
0.097, -0.03, 0.837, 84.412, -14.832, -20.325, 0.0, 0.0, 0.0
0.018, -0.021, 0.855, 68.909, -36.133, -0.122, 0.0, 0.0, 0.0
0.023, 0.021, 0.826, 59.509, -33.691, -5.615, 0.0, 0.0, 0.0
0.174, 0.075, 0.833, 66.345, -6.47, 1.709, 0.0, 0.0, 0.0
0.217, 0.172, 1.032, 48.279, 23.438, 3.54, 0.0, 0.0, 0.0
0.155, 0.125, 1.135, 47.485, 31.616, -5.493, 0.0, 0.0, 0.0
0.167, 0.102, 1.091, 42.786, 7.751, 2.075, 0.0, 0.0, 0.0
0.214, 0.176, 1.069, 68.176, -1.404, -19.226, 0.0, 0.0, 0.0
0.12, 0.215, 1.244, 63.843, 27.832, 1.404, 0.0, 0.0, 0.0
0.11, 0.245, 1.482, 66.711, 52.734, -4.333, 0.0, 0.0, 0.0
0.118, 0.216, 1.509, 65.491, 23.621, -7.507, 0.0, 0.0, 0.0
0.123, 0.212, 1.422, 63.843, 9.888, -15.93, 0.0, 0.0, 0.0
0.049, 0.164, 1.402, 50.964, 37.231, -20.752, 0.0, 0.0, 0.0
-0.096, 0.161, 1.447, 25.452, 51.147, -18.982, 0.0, 0.0, 0.0
-0.184, 0.12, 1.501, 10.864, 53.65, 5.798, 0.0, 0.0, 0.0
-0.251, 0.076, 1.399, 6.104, 26.367, 1.953, 0.0, 0.0, 0.0
-0.105, 0.13, 1.249, -17.395, 14.099, -22.888, 0.0, 0.0, 0.0
-0.04, 0.153, 1.184, 5.432, 11.047, -11.658, 0.0, 0.0, 0.0
