### File1
### Start time : 2024/03/29 08:51:19
### ACC FSR:2G
### GYRO FSR:2000
### MAG DATA:MAG OFF
### Interrupt Threshold:1201
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:LP_QUAT
### Gyro Cal:YES
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
-0.022, -0.299, 0.9, 1.343, 6.165, 3.052, 0.0, 0.0, 0.0
-0.015, -0.271, 0.98, -1.343, -3.357, -15.808, 0.0, 0.0, 0.0
0.006, -0.28, 1.002, -2.991, -18.677, -18.86, 0.0, 0.0, 0.0
-0.025, -0.298, 1.042, -2.319, -21.423, 2.747, 0.0, 0.0, 0.0
-0.059, -0.36, 1.197, -0.916, -16.479, 5.798, 0.0, 0.0, 0.0
-0.039, -0.324, 1.222, -4.272, -18.188, 2.136, 0.0, 0.0, 0.0
-0.061, -0.326, 1.336, -5.859, -6.836, 3.418, 0.0, 0.0, 0.0
-0.115, -0.311, 1.44, 0.854, -7.629, 3.601, 0.0, 0.0, 0.0
-0.058, -0.307, 1.343, -14.954, -18.86, -16.846, 0.0, 0.0, 0.0
-0.008, -0.341, 1.408, -34.546, -6.653, -20.996, 0.0, 0.0, 0.0
-0.035, -0.382, 1.431, -23.743, 10.803, -18.25, 0.0, 0.0, 0.0
-0.053, -0.385, 1.344, -28.809, 23.621, 2.136, 0.0, 0.0, 0.0
-0.116, -0.384, 1.328, -24.963, 39.368, 0.366, 0.0, 0.0, 0.0
-0.118, -0.419, 1.293, -27.588, 42.419, -19.653, 0.0, 0.0, 0.0
-0.076, -0.434, 1.23, -51.514, 62.927, -18.555, 0.0, 0.0, 0.0
-0.145, -0.38, 1.071, -41.321, 67.322, 1.16, 0.0, 0.0, 0.0
-0.104, -0.35, 0.93, -52.307, 39.124, -19.348, 0.0, 0.0, 0.0
-0.044, -0.36, 1.088, -35.706, 42.48, -13.123, 0.0, 0.0, 0.0
-0.123, -0.308, 1.015, -24.597, 64.697, -32.043, 0.0, 0.0, 0.0
-0.048, -0.349, 0.932, -24.78, 45.288, -31.616, 0.0, 0.0, 0.0
-0.111, -0.249, 0.946, -9.155, 58.35, -10.01, 0.0, 0.0, 0.0
-0.278, -0.197, 0.856, -11.902, 66.895, -8.85, 0.0, 0.0, 0.0
-0.174, -0.236, 0.833, -8.972, 32.104, -13.428, 0.0, 0.0, 0.0
-0.156, -0.219, 0.823, -12.939, 15.503, -37.17, 0.0, 0.0, 0.0
-0.149, -0.188, 0.724, -9.033, 10.681, -31.86, 0.0, 0.0, 0.0
-0.163, -0.18, 0.797, 1.099, 19.348, -33.691, 0.0, 0.0, 0.0
-0.29, -0.172, 0.738, -13.428, -6.165, -26.672, 0.0, 0.0, 0.0
-0.265, -0.186, 0.669, -36.011, 1.587, -52.063, 0.0, 0.0, 0.0
-0.099, -0.239, 0.777, -19.104, -19.836, -46.692, 0.0, 0.0, 0.0
-0.142, -0.229, 0.734, -15.442, -16.174, -46.082, 0.0, 0.0, 0.0
-0.123, -0.288, 0.656, -33.203, -20.63, -41.199, 0.0, 0.0, 0.0
-0.078, -0.334, 0.697, -16.785, 1.038, -53.65, 0.0, 0.0, 0.0
-0.133, -0.232, 0.691, 2.625, 15.625, -51.88, 0.0, 0.0, 0.0
-0.087, -0.318, 0.774, -18.311, 7.446, -53.833, 0.0, 0.0, 0.0
-0.069, -0.371, 0.766, -9.338, -17.09, -47.363, 0.0, 0.0, 0.0
-0.167, -0.335, 0.725, -21.79, 19.836, -24.109, 0.0, 0.0, 0.0
-0.177, -0.29, 0.828, -7.813, 21.851, -28.198, 0.0, 0.0, 0.0
-0.251, -0.338, 0.757, -23.071, 17.212, -26.123, 0.0, 0.0, 0.0
-0.202, -0.411, 0.645, -15.015, 19.592, -27.222, 0.0, 0.0, 0.0
-0.182, -0.38, 0.784, 2.258, 8.606, -50.659, 0.0, 0.0, 0.0
-0.153, -0.401, 0.795, -17.7, -3.174, -47.791, 0.0, 0.0, 0.0
-0.187, -0.423, 0.809, -23.132, 6.775, -23.499, 0.0, 0.0, 0.0
-0.216, -0.313, 0.77, -37.17, -17.822, -13.062, 0.0, 0.0, 0.0
-0.276, -0.247, 0.636, -46.997, -11.78, -1.16, 0.0, 0.0, 0.0
