### File1
### Start time : 2024/03/28 22:50:07
### ACC FSR:2G
### GYRO FSR:1000
### MAG DATA:MAG OFF
### Interrupt Threshold:1201
### Data Rate:50Hz
### Data Type:9X DATA
### Feature:6X_LP_QUAT
### Gyro Cal:YES
### Gyro Data:CAL
### Acc Data:RAW
accX, accY, accZ, gyroX, gyroY, gyroZ, magX, magY, magZ
0.27, 0.036, 1.015, -5.524, 21.881, 18.28, 0.0, 0.0, 0.0
0.008, 0.002, 1.16, -12.024, 26.062, 24.78, 0.0, 0.0, 0.0
-0.015, -0.076, 1.291, -4.425, 42.633, 41.504, 0.0, 0.0, 0.0
0.134, -0.106, 1.464, -35.309, 99.854, 42.114, 0.0, 0.0, 0.0
0.153, -0.147, 1.676, -59.021, 165.741, 20.02, 0.0, 0.0, 0.0
0.179, -0.1, 1.804, -45.013, 125.702, 17.487, 0.0, 0.0, 0.0
0.091, -0.106, 1.785, -10.559, 52.277, 5.035, 0.0, 0.0, 0.0
0.017, -0.138, 1.594, 36.896, -19.012, 4.211, 0.0, 0.0, 0.0
-0.045, -0.12, 1.44, 62.744, -40.771, -2.594, 0.0, 0.0, 0.0
-0.007, -0.112, 1.412, 43.274, -25.94, -7.904, 0.0, 0.0, 0.0
-0.032, -0.115, 1.291, 38.452, -5.524, -9.613, 0.0, 0.0, 0.0
-0.052, -0.055, 1.228, 50.11, -25.757, -11.047, 0.0, 0.0, 0.0
-0.052, -0.041, 1.214, 38.513, -14.13, 0.519, 0.0, 0.0, 0.0
0.035, -0.013, 1.169, 44.373, -32.074, 0.305, 0.0, 0.0, 0.0
0.056, -0.011, 1.134, 62.775, -29.877, -10.986, 0.0, 0.0, 0.0
0.018, -0.02, 1.024, 62.775, -26.703, -16.724, 0.0, 0.0, 0.0
-0.009, 0.007, 0.962, 62.531, -33.966, -13.855, 0.0, 0.0, 0.0
0.017, 0.02, 0.931, 64.423, -27.405, -27.039, 0.0, 0.0, 0.0
0.019, 0.041, 0.866, 47.913, -1.099, -32.104, 0.0, 0.0, 0.0
-0.028, 0.065, 0.789, 33.142, 23.01, -32.196, 0.0, 0.0, 0.0
-0.027, 0.06, 0.776, 28.564, 13.184, -22.552, 0.0, 0.0, 0.0
-0.041, 0.055, 0.761, 35.736, 5.066, -31.891, 0.0, 0.0, 0.0
0.02, 0.135, 0.722, 34.637, 13.367, -29.297, 0.0, 0.0, 0.0
0.0, 0.124, 0.712, 31.769, 22.797, -28.168, 0.0, 0.0, 0.0
-0.029, 0.138, 0.706, 23.01, 26.459, -34.18, 0.0, 0.0, 0.0
-0.047, 0.157, 0.689, 22.705, 9.766, -34.271, 0.0, 0.0, 0.0
-0.075, 0.176, 0.757, 34.302, -17.242, -29.327, 0.0, 0.0, 0.0
-0.05, 0.166, 0.761, 27.954, -5.798, -34.149, 0.0, 0.0, 0.0
-0.015, 0.206, 0.751, 34.332, 2.441, -22.003, 0.0, 0.0, 0.0
-0.052, 0.223, 0.711, 33.447, -10.468, -19.928, 0.0, 0.0, 0.0
-0.037, 0.242, 0.687, 20.813, 11.658, -19.867, 0.0, 0.0, 0.0
-0.009, 0.283, 0.682, 15.167, 11.566, -21.912, 0.0, 0.0, 0.0
